ID Fonte Recurso,Nome Fonte Recurso,Total Liquidado,Total Arrecadado,Dt_Insert
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,761761014279.6478,755199899144.4143,2024-08-17 16:44:03.098984
2.0,RECURSOS VINCULADOS ESTADUAIS,265651897553.25644,269320418872.57208,2024-08-17 16:44:03.098984
3.0,RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,22673559367.715214,28281621901.93213,2024-08-17 16:44:03.098984
4.0,REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,52983566523.66284,56521380942.44006,2024-08-17 16:44:03.098984
5.0,RECURSOS VINCULADOS FEDERAIS,42036369007.59677,44605319221.94137,2024-08-17 16:44:03.098984
6.0,OUTRAS FONTES DE RECURSOS,3197582953.851384,5671774157.55741,2024-08-17 16:44:03.098984
7.0,OP.CRED.E CONTRIB.DO EXTERIOR-DOT.INIC.CR.SU,7864193942.18157,12378368819.925991,2024-08-17 16:44:03.098984
41.0,TESOURO - CREDITO POR SUPERAVIT FINANCEIRO,7363587993.102979,0.051954,2024-08-17 16:44:03.098984
42.0,REC.VINC.ESTADUAIS-CRED.SUPERAVIT FINANCEIRO,2724446296.0361643,27816.587232,2024-08-17 16:44:03.098984
43.0,F.E.D - CREDITO POR SUPERAVIT FINANCEIRO,161784292.102734,0.0,2024-08-17 16:44:03.098984
44.0,REC.PROP.ADM.IND-CRED.P/SUPERVAVIT FINANCEIR,2452592632.04361,2991847.98192,2024-08-17 16:44:03.098984
45.0,REC.VINC.TRANSF.FEDERAL/SUPERAVIT FINANC.,1694625227.7507842,678.6751019999999,2024-08-17 16:44:03.098984
47.0,REC.OPERAC. DE CREDITO-P/SUPERAVIT FINANCEIR,4639296110.069755,247411531.506972,2024-08-17 16:44:03.098984
81.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR-INTRA,160699905642.9071,160784649176.5672,2024-08-17 16:44:03.098984
82.0,RECURSOS VINCULADOS ESTADUAIS-INTRA,2110217111.781408,2110217111.781408,2024-08-17 16:44:03.098984
83.0,RECURSOS VINCULADOS-FUNDO ESP. DESPESA-INTRA,244163474.711982,248043925.206462,2024-08-17 16:44:03.098984
84.0,REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.-INTRA,14253027.36921,22736603.614494,2024-08-17 16:44:03.098984
85.0,RECURSOS VINCULADOS FEDERAIS-INTRA,1173144392.199906,1173144392.199906,2024-08-17 16:44:03.098984
86.0,OUTRAS FONTES DE RECURSOS-INTRA,713729134.863612,713729134.863612,2024-08-17 16:44:03.098984
87.0,OP.CRED.CONTR.EXTERIOR-DOT.INIC.CR.SUP-INTRA,241282334.469582,241282334.469582,2024-08-17 16:44:03.098984
99.0,EXTRA ORCAMENTARIA,0.0,0.0,2024-08-17 16:44:03.098984
