Fonte de Recursos,Despesa,Liquidado,Unnamed: 3,id_fonte,nome_fonte,liquidado_brl
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900119 - ATRASADOS-OUTROS PODERES/MINIST.PUBLICO,"          79.760.504,67",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,414387725.96251804
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900124 - COMPLEMENTACAO DE APOSENTADORIA,"       1.850.834.374,26",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,9615824908.030405
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900125 - COMPLEMENTACAO DE APOSENTADORIA - 13ºSALARIO,"         124.536.202,87",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,647015388.3907981
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900325 - COMPLEMENTACAO DE PENSAO,"          10.948.297,00",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,56880782.2338
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900326 - COMPLEMENTACAO DE PENSAO - 13º SALARIO,"             521.632,30",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2710088.4514200003
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900327 - ATRASADOS-OUTROS PODERES E MINISTERIO PUBLIC,"          29.687.439,37",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,154238122.502898
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900701 - CONTRIBUICAO PATRONAL,"          85.701.614,80",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,445254169.53192
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900801 - SALARIO FAMILIA - CIVIL,"           1.911.133,78",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,9929104.440612001
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900803 - SALARIO FAMILIA-INATIVOS DO EXECUTIVO,"              20.503,36",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,106523.15654400001
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900843 - AUXILIO-RECLUSAO (LC 1.012/07),"           2.035.758,60",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,10576580.23044
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901111 - PESSOAL CIVIL PAGO PELO DDPE,"      24.250.904.009,59",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,125993146691.42389
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901112 - PESSOAL CIVIL PAGO PELA UNIDADE,"       8.308.253.867,35",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,43164702142.43019
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901128 - PESSOAL CIVIL PAGO PELO DDPE-13 SALARIO,"       1.950.291.607,10",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,10132545015.52734
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901129 - PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO,"         730.955.200,08",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,3797604646.495632
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901130 - PESSOAL CIVIL PAGO PELO DDPE - 1/3 FERIAS,"         458.919.705,32",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2384271437.019528
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901131 - PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS,"         289.319.372,90",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1503129869.96466
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901133 - VENCITOS.ATRASADOS-OUTR.PODERES E MINIST.PUB,"         224.938.928,41",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1168647708.661314
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901136 - ABONO DE PERMANENCIA,"         596.465.744,00",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,3098878126.3776
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901137 - LICENCA PREMIO - PESSOAL CIVIL,"         198.524.686,15",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,1031415154.4237101
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901201 - VENCIM.E VANTAG.FIXAS-PESSOAL MILITAR,"       5.627.183.235,05",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,29235467779.378773
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901209 - PESSOAL MILITAR-13 SALARIO,"         415.566.414,65",,1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,2159033750.67261
