fund_id,fund_name,Despesa,Liquidado,liquidated_brl
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900119 - ATRASADOS-OUTROS PODERES/MINIST.PUBLICO,"          79.760.504,67",414387725.96251804
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900124 - COMPLEMENTACAO DE APOSENTADORIA,"       1.850.834.374,26",9615824908.030405
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900125 - COMPLEMENTACAO DE APOSENTADORIA - 13ºSALARIO,"         124.536.202,87",647015388.3907981
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900325 - COMPLEMENTACAO DE PENSAO,"          10.948.297,00",56880782.2338
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900326 - COMPLEMENTACAO DE PENSAO - 13º SALARIO,"             521.632,30",2710088.4514200003
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900327 - ATRASADOS-OUTROS PODERES E MINISTERIO PUBLIC,"          29.687.439,37",154238122.502898
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900701 - CONTRIBUICAO PATRONAL,"          85.701.614,80",445254169.53192
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900801 - SALARIO FAMILIA - CIVIL,"           1.911.133,78",9929104.440612001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900803 - SALARIO FAMILIA-INATIVOS DO EXECUTIVO,"              20.503,36",106523.15654400001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31900843 - AUXILIO-RECLUSAO (LC 1.012/07),"           2.035.758,60",10576580.23044
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901111 - PESSOAL CIVIL PAGO PELO DDPE,"      24.250.904.009,59",125993146691.42389
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901112 - PESSOAL CIVIL PAGO PELA UNIDADE,"       8.308.253.867,35",43164702142.43019
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901128 - PESSOAL CIVIL PAGO PELO DDPE-13 SALARIO,"       1.950.291.607,10",10132545015.52734
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901129 - PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO,"         730.955.200,08",3797604646.495632
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901130 - PESSOAL CIVIL PAGO PELO DDPE - 1/3 FERIAS,"         458.919.705,32",2384271437.019528
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901131 - PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS,"         289.319.372,90",1503129869.96466
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901133 - VENCITOS.ATRASADOS-OUTR.PODERES E MINIST.PUB,"         224.938.928,41",1168647708.661314
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901136 - ABONO DE PERMANENCIA,"         596.465.744,00",3098878126.3776
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901137 - LICENCA PREMIO - PESSOAL CIVIL,"         198.524.686,15",1031415154.4237101
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901201 - VENCIM.E VANTAG.FIXAS-PESSOAL MILITAR,"       5.627.183.235,05",29235467779.378773
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901209 - PESSOAL MILITAR-13 SALARIO,"         415.566.414,65",2159033750.67261
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901210 - PESSOAL MILITAR-1/3 FERIAS,"         155.487.592,10",807820235.99634
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901211 - ABONO DE PERMANENCIA,"          36.562.520,37",189956918.330298
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901212 - LICENCA PREMIO - PESSOAL MILITAR,"          69.645.973,30",361838689.68282
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901312 - OUTRAS CONTRIBUICOES DE PREV.SOCIAL,"         398.021.884,97",2067882901.1731381
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901313 - FUNDO DE GARANTIA POR TEMPO DE SERVICO,"         451.189.769,45",2344111328.20053
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901320 - OUTRAS CONTRIB.PREV.SOCIAL-13 SALARIO,"          33.739.322,18",175289274.453972
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901321 - FGTS-13 SALARIO,"          11.948.435,68",62076902.731872
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901322 - PARCELAM.DE DEBITOS JUNTO A PREV.SOCIAL,"         194.611.317,99",1011083641.4852461
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901323 - PREVIDENCIA SOCIAL/PESSOAL CLT,"       1.193.470.771,92",6200558048.433168
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901324 - PREVIDENCIA SOCIAL/PESSOAL COMISSIONADO,"          73.652.050,20",382651861.60908
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901327 - ENC.PATRO.POR DEMISSAO DE SERVIDOR/EMPREGADO,"             126.809,80",658827.6349200001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901611 - VERBA HONORARIA,"         169.310.299,35",879634729.24299
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901612 - VERBA HONORARIA-13 SALARIO,"             499.023,13",2592624.7696020002
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901613 - HORA EXTRA,"          70.938.825,07",368555571.768678
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31901616 - DESPESAS EVENTUAIS DE PESSOAL CIVIL,"          14.101.579,29",73263345.043266
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909208 - DESP.DE EXERC.ANTERIORES- PESSOAL REQUISITAD,"             884.643,35",4596076.06059
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909226 - VENC. E VANTAGENS FIXAS DE EXERC. ANTERIORES,"         874.463.444,64",4543187380.282656
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,31909227 - INATIVOS DE EXERCíCIOS ANTERIORES,"          38.249.168,95",198719732.36283
