fund_id,fund_name,Receita,Arrecadado,collected_brl
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11130111 - IRRF - IMP.RENDA PESSOA FISICA-PRINCIPAL,"4267858335,83",22173231197.971184
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11130311 - IRRF-IMP. RENDA RET. FTE-TRABALHO-PRINCIPAL,"4323772997,93",22463730233.445526
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11130341 - IRRF-OUTROS RENDIMENTOS-PRINCIPAL,"123071158,14",639403895.000556
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180121 - IPVA - IMP. PROPR. VEIC. AUTOM  - PRINCIPAL,"8202995933,47",42617845072.75004
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180122 - IPVA - MULTAS E  JUROS,"6927,39",35990.562006
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180123 - IPVA - DIVIDA ATIVA,"235614546,72",1224111816.029088
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180124 - IPVA - MULTA E JUROS-DIVIDA ATIVA,"401195,68",2084372.035872
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180131 - ITCMD-IMP.TRA.CAUSA MORTIS/DOACAO-PRINCIPAL,"3158253957,69",16408392611.782627
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180132 - ITCMD - MULTAS E JUROS,"218862721,73",1137079384.476042
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180133 - ITCMD - DIVIDA ATIVA,"8067099,83",41911810.456782006
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180134 - ITCMD - DIVIDA ATIVA - MULTAS E JUROS,"12176510,96",63261845.04158401
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180211 - ICMS - PRINCIPAL,"107251547629,75",557214690555.6031
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180212 - ICMS - MULTAS E JUROS,"1664601065,05",8648268373.36077
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180213 - ICMS - DIVIDA ATIVA,"1807508819,34",9390731319.999037
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180214 - ICMS - DIVIDA ATIVA - MULTAS E JUROS,"553017110,44",2873145095.5799766
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180221 - ADIC. ICMS-FUNDO EST. COMB. POBREZA PRINCIPA,"696063871,22",3616330236.5363884
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11180222 - ADIC.ICMS-FUNDO.EST.COMB.POBREZA MULTA /JURO,"159345,51",827863.6626540001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11220111 - TAXA PELA  PRESTACAO DE SERVICOS-PRINCIPAL,"4360882904,65",22656531042.818607
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11220113 - TAXAS PELA PRESTACAO DE SERVICOS-DIVIDA ATIV,"1245193,71",6469279.4009340005
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11220114 - TX PRESTACAO SERVICOS-DIV. ATIVA-MULTAS/JURO,"407269,52",2115928.064208
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"11220211 - EMOLUMENTOS,CUSTAS JUDICIAIS - PRINCIPAL","378327459,8",1965562484.64492
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11280111 - TAXA DE FISCALIZACAO DE VIGIL,"3982496,76",20690663.666904
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,11389911 - OUTRAS CONTRIBUICOES DE MELHORIA,"3,9",20.26206
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13100111 - ALUGUEIS E ARRENDAMENTOS - PRINCIPAL,"3055808,08",15876145.298832001
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13210011 - REMUNERACAO  DEPOSITOS BANCARIOS - PRINCIPAL,"707403202,29",3675242597.177466
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13210041 - REMUNERACAO RECURSOS RPPS-PRINCIPAL,"6113,94",31764.363876
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13210061 - JUROS SOBRE O CAPITAL PROPRIO - PRINCIPAL,"570807015,25",2965570767.02985
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13220011 - DIVIDENDOS - PRINCIPAL,"208650721,85",1084023960.29949
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13310311 - DELEG.P/PREST.DOS SERV.DE TRANSP.METROV-PRIN,"5255629,84",27305099.270736
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13320111 - DELEG.EXPL. TRANSP.RODOV.SETOR PRIVADO-PRINC,"226111,1",1174737.6089400002
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,13600111 - CESSAO DIREITO OPERACIONAL.PAGTOS- PRINCIPAL,"1033113234,01",5367436495.975554
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,16400111 - RETORNO OPERACOES/JUROS/ ENC.FIN.-PRINCIPAL,"627709,77",3261203.339058
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,16909911 - OUTROS SERVICOS - PRINCIPAL,"7850,29",40785.396666
1.0,TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,17180111 - COTA-PARTE FDO PARTICIPACAO  EST/DF-PRINCIPA,"960716946,51",4991308823.898054
